"C","S","n","alpha"
0,0.,805,53
0,0.0010697818345492649,805,53
0,0.,805,53
0,-0.0010282224746399307,805,53
0,0.,805,53
0,0.0009880186416078498,805,53
0,0.,805,53
0,-0.0009491376898908051,805,53
0,0.,805,53
0,0.0009115472742228568,805,53
0,0.,805,53
0,-0.000875215368085312,805,53
0,0.,805,53
0,0.0008401102811727008,805,53
0,0.,805,53
0,-0.0008062006758810543,805,53
0,0.,805,53
0,0.0007734555828272474,805,53
0,0.,805,53
0,-0.000741844415409582,805,53
0,0.,805,53
0,0.000711336983421109,805,53
0,0.,805,53
0,-0.0006819035057284617,805,53
0,0.,805,53
0,0.0006535146220301641,805,53
0,0.,805,53
0,-0.0006261414037095071,805,53
0,0.,805,53
0,0.0005997553637981365,805,53
0,0.,805,53
0,-0.0005743284660674857,805,53
0,0.,805,53
0,0.0005498331332660999,805,53
0,0.,805,53
0,-0.0005262422545217413,805,53
0,0.,805,53
0,0.000503529191927946,805,53
0,0.,805,53
0,-0.0004816677863354064,805,53
0,0.,805,53
0,0.00046063236236919324,805,53
0,0.,805,53
0,-0.000440397732693409,805,53
0,0.,805,53
0,0.00042093920154536753,805,53
0,0.,805,53
0,-0.00040223256756183914,805,53
0,0.,805,53
0,0.0003842541259202851,805,53
0,0.,805,53
0,-0.0003669806698183197,805,53
0,0.,805,53
0,0.0003503894913149015,805,53
0,0.,805,53
0,-0.000334458381556956,805,53
0,0.,805,53
0,0.0003191656304152766,805,53
